Period,Site,Corallivore Density,Corallivore Density_N,Corallivore Density_SD,Corallivore Density_SE,Corallivore Density_CI_low,Corallivore Density_CI_high,Corallivore Density_EB_low,Corallivore Density_EB_high,Detritivore Density,Detritivore Density_N,Detritivore Density_SD,Detritivore Density_SE,Detritivore Density_CI_low,Detritivore Density_CI_high,Detritivore Density_EB_low,Detritivore Density_EB_high,Omnivore Density,Omnivore Density_N,Omnivore Density_SD,Omnivore Density_SE,Omnivore Density_CI_low,Omnivore Density_CI_high,Omnivore Density_EB_low,Omnivore Density_EB_high,Carnivore Density,Carnivore Density_N,Carnivore Density_SD,Carnivore Density_SE,Carnivore Density_CI_low,Carnivore Density_CI_high,Carnivore Density_EB_low,Carnivore Density_EB_high,Herbivore Density,Herbivore Density_N,Herbivore Density_SD,Herbivore Density_SE,Herbivore Density_CI_low,Herbivore Density_CI_high,Herbivore Density_EB_low,Herbivore Density_EB_high,Total Density,Total Density_N,Total Density_SD,Total Density_SE,Total Density_CI_low,Total Density_CI_high,Total Density_EB_low,Total Density_EB_high,Commercial Density,Commercial Density_N,Commercial Density_SD,Commercial Density_SE,Commercial Density_CI_low,Commercial Density_CI_high,Commercial Density_EB_low,Commercial Density_EB_high,Total Biomass Density,Total Biomass Density_N,Total Biomass Density_SD,Total Biomass Density_SE,Total Biomass Density_CI_low,Total Biomass Density_CI_high,Total Biomass Density_EB_low,Total Biomass Density_EB_high,Commercial Biomass Density,Commercial Biomass Density_N,Commercial Biomass Density_SD,Commercial Biomass Density_SE,Commercial Biomass Density_CI_low,Commercial Biomass Density_CI_high,Commercial Biomass Density_EB_low,Commercial Biomass Density_EB_high
Summer 2022,Antulang,22.5,6,16.05,6.55,5.66,39.34,15.95,29.05,54.17,6,41.21,16.82,10.92,97.41,37.34,70.99,37.83,6,30.73,12.55,5.58,70.09,25.29,50.38,121.33,6,81.72,33.36,35.57,207.1,87.97,154.7,1028.83,6,646.51,263.94,350.36,1707.3,764.9,1292.77,1264.67,6,764.24,312.0,462.65,2066.68,952.67,1576.66,152.33,6,168.61,68.83,0.0,329.28,83.5,221.17,24.81,6,33.33,13.61,0.0,59.79,11.2,38.42,16.98,6,32.35,13.21,0.0,50.93,3.78,30.19
Autumn 2022,Antulang,25.29,7,11.8,4.46,14.37,36.2,20.83,29.75,32.43,7,16.17,6.11,17.47,47.39,26.32,38.54,38.71,7,24.78,9.37,15.79,61.64,29.35,48.08,108.57,7,43.97,16.62,67.9,149.24,91.95,125.19,969.14,7,358.99,135.69,637.13,1301.16,833.46,1104.83,1174.14,7,425.97,161.0,780.19,1568.1,1013.14,1335.14,162.0,7,108.59,41.04,61.57,262.43,120.96,203.04,16.55,7,5.25,1.98,11.69,21.4,14.56,18.53,5.11,7,4.1,1.55,1.31,8.9,3.56,6.66
Winter 22/23,Antulang,10.4,10,3.95,1.25,7.57,13.23,9.15,11.65,10.5,10,6.87,2.17,5.59,15.41,8.33,12.67,17.3,10,8.64,2.73,11.12,23.48,14.57,20.03,27.4,10,12.27,3.88,18.62,36.18,23.52,31.28,525.6,10,212.18,67.1,373.82,677.38,458.5,592.7,591.2,10,225.96,71.46,429.56,752.84,519.74,662.66,136.2,10,100.96,31.93,63.98,208.42,104.27,168.13,16.35,10,9.4,2.97,9.62,23.07,13.37,19.32,8.55,10,6.46,2.04,3.93,13.17,6.51,10.6
Spring 2023,Antulang,10.94,18,4.3,1.01,8.8,13.08,9.93,11.96,12.06,18,7.23,1.7,8.46,15.65,10.35,13.76,13.5,18,5.42,1.28,10.81,16.19,12.22,14.78,29.67,18,19.03,4.49,20.2,39.13,25.18,34.15,487.5,18,190.52,44.91,392.76,582.24,442.59,532.41,553.67,18,199.47,47.02,454.47,652.86,506.65,600.68,79.33,18,98.01,23.1,30.6,128.07,56.23,102.43,9.02,18,4.83,1.14,6.62,11.42,7.88,10.16,2.64,18,3.65,0.86,0.82,4.45,1.78,3.5
Summer 2023,Antulang,11.38,16,6.87,1.72,7.71,15.04,9.66,13.09,13.62,16,10.38,2.59,8.09,19.16,11.03,16.22,16.75,16,7.38,1.85,12.82,20.68,14.9,18.6,66.81,16,53.79,13.45,38.15,95.47,53.37,80.26,624.56,16,259.9,64.98,486.07,763.05,559.59,689.54,733.12,16,291.96,72.99,577.55,888.7,660.13,806.12,82.88,16,84.42,21.11,37.89,127.86,61.77,103.98,12.84,16,7.04,1.76,9.09,16.59,11.09,14.6,5.38,16,5.55,1.39,2.42,8.34,3.99,6.77
Autumn 2023,Antulang,9.75,8,6.54,2.31,4.28,15.22,7.44,12.06,16.75,8,10.14,3.58,8.27,25.23,13.17,20.33,17.12,8,9.72,3.44,9.0,25.25,13.69,20.56,40.38,8,19.94,7.05,23.71,57.04,33.33,47.42,521.12,8,175.98,62.22,374.0,668.25,458.91,583.34,605.12,8,198.32,70.12,439.32,770.93,535.01,675.24,53.88,8,44.29,15.66,16.85,90.9,38.22,69.53,6.8,8,2.41,0.85,4.78,8.82,5.95,7.65,2.14,8,1.1,0.39,1.22,3.06,1.75,2.53
Winter 23/24,Antulang,12.94,16,7.61,1.9,8.88,16.99,11.03,14.84,17.94,16,15.14,3.79,9.87,26.01,14.15,21.72,17.06,16,9.86,2.46,11.81,22.31,14.6,19.53,50.69,16,32.27,8.07,33.49,67.88,42.62,58.76,578.44,16,431.31,107.83,348.61,808.26,470.61,686.26,677.06,16,465.69,116.42,428.91,925.21,560.64,793.49,105.5,16,251.74,62.94,0.0,239.65,42.56,168.44,14.18,16,18.39,4.6,4.38,23.98,9.58,18.77,7.85,16,15.36,3.84,0.0,16.03,4.01,11.68
Spring 2024,Antulang,11.08,13,7.17,1.99,6.74,15.41,9.09,13.07,14.69,13,4.59,1.27,11.92,17.47,13.42,15.97,17.08,13,10.39,2.88,10.8,23.35,14.2,19.96,80.85,13,60.23,16.7,44.45,117.24,64.14,97.55,452.46,13,236.74,65.66,309.4,595.52,386.8,518.12,576.15,13,274.44,76.12,410.31,742.0,500.04,652.27,29.69,13,17.49,4.85,19.13,40.26,24.84,34.54,7.78,13,8.2,2.27,2.82,12.73,5.5,10.05,1.49,13,1.43,0.4,0.63,2.36,1.1,1.89
Summer 2024,Antulang,13.64,11,4.43,1.34,10.66,16.61,12.3,14.97,13.82,11,4.98,1.5,10.48,17.16,12.32,15.32,22.36,11,10.95,3.3,15.01,29.72,19.06,25.66,105.55,11,73.76,22.24,55.99,155.1,83.31,127.78,676.91,11,320.67,96.69,461.48,892.34,580.22,773.59,832.27,11,381.54,115.04,575.95,1088.59,717.24,947.31,88.45,11,101.14,30.49,20.51,156.4,57.96,118.95,12.01,11,11.45,3.45,4.32,19.7,8.56,15.47,6.5,11,10.0,3.02,0.0,13.22,3.49,9.52
Autumn 2024,Antulang,16.57,7,5.97,2.26,11.05,22.09,14.32,18.83,23.71,7,9.59,3.62,14.85,32.58,20.09,27.34,31.71,7,22.61,8.55,10.8,52.63,23.17,40.26,85.43,7,14.68,5.55,71.85,99.01,79.88,90.98,956.29,7,320.86,121.27,659.54,1253.03,835.01,1077.56,1113.71,7,351.56,132.88,788.58,1438.85,980.84,1246.59,90.0,7,79.61,30.09,16.37,163.63,59.91,120.09,17.38,7,8.42,3.18,9.6,25.17,14.2,20.56,4.7,7,5.73,2.16,0.0,9.99,2.54,6.86
Winter 24/25,Antulang,13.0,19,6.09,1.4,10.06,15.94,11.6,14.4,10.05,19,4.09,0.94,8.08,12.02,9.11,10.99,17.68,19,7.39,1.69,14.12,21.24,15.99,19.38,60.26,19,59.41,13.63,31.63,88.9,46.63,73.89,537.53,19,237.24,54.43,423.18,651.87,483.1,591.95,638.53,19,248.86,57.09,518.58,758.47,581.43,695.62,59.37,19,96.83,22.21,12.7,106.04,37.16,81.58,16.62,19,17.84,4.09,8.02,25.22,12.52,20.71,8.08,19,17.91,4.11,0.0,16.71,3.97,12.19
Spring 2025,Antulang,7.45,20,4.56,1.02,5.32,9.58,6.43,8.47,8.85,20,5.25,1.17,6.39,11.31,7.68,10.02,16.3,20,8.74,1.95,12.21,20.39,14.35,18.25,56.05,20,44.83,10.02,35.07,77.03,46.03,66.07,609.15,20,235.04,52.56,499.15,719.15,556.59,661.71,697.8,20,273.81,61.23,569.65,825.95,636.57,759.03,53.35,20,69.11,15.45,21.01,85.69,37.9,68.8,8.97,20,4.61,1.03,6.81,11.13,7.94,10.0,3.2,20,3.37,0.75,1.63,4.78,2.45,3.96
Summer 2025,Antulang,13.35,20,9.02,2.02,9.13,17.57,11.33,15.37,15.35,20,10.39,2.32,10.49,20.21,13.03,17.67,23.25,20,17.77,3.97,14.93,31.57,19.28,27.22,124.65,20,86.62,19.37,84.11,165.19,105.28,144.02,724.1,20,357.9,80.03,556.6,891.6,644.07,804.13,900.7,20,383.52,85.76,721.21,1080.19,814.94,986.46,136.5,20,132.7,29.67,74.39,198.61,106.83,166.17,23.38,20,27.64,6.18,10.45,36.32,17.2,29.56,18.32,20,28.35,6.34,5.05,31.58,11.98,24.66
